"i","e","h","m","f","c","dprime","beta","aprime","bppd","c"
"J00945071ih","Black",15,5,0,20,2.61823655760966,5.80370786679107,0.9375,0.457142857142857,0.671634117842451
"J00951218TP","Black",17,3,1,19,2.43265535878722,1.83217317630373,0.945820433436533,0.669565217391304,0.24890611329191
"J00954142DT","Black",12,8,1,19,1.70627418657155,2.84170663035733,0.87390350877193,0.309090909090909,0.612096699399748
"J00958620CR","Black",18,2,1,19,2.64499491029738,1.45868724837658,0.959795321637427,-1.73472347597681e-16,0.142736337536831
"J00961267LR","Black",16,4,4,16,1.58327721548675,1,0.875,-1.5419764230905e-16,0
"J00964292CB","Black",18,2,2,18,2.35952223522372,1,0.944444444444444,-1,0
"J00965289AL","Black",20,0,3,17,2.94817396274898,0.224531833363505,0.9625,0.457142857142857,-0.506665415272789
"J00965453MP","Black",17,3,1,19,2.43265535878722,1.83217317630373,0.945820433436533,1,0.24890611329191
"j00980078CJ","Black",18,2,0,20,3.16051351425914,3.54582863817865,0.975,0.542168674698795,0.400495639517709
"j00981726AB","Black",16,4,1,19,2.2568724004289,2.13850971371787,0.931743421052632,1,0.336797592471074
"j00983550MKN","Black",13,7,0,20,2.34685875344785,6.65037401648796,0.9125,0.214723926380368,0.807323019923355
"J01002593TL","Black",11,9,4,16,0.911286720783217,1.35823764094347,0.768465909090909,1,0.335995247351766
"J01024433CAA","Black",9,11,0,20,1.86110428360744,7.06061524530082,0.8625,-0.172413793103448,1.05020025484356
"KBooker","Black",18,2,3,17,2.14718268371356,0.796151404923072,0.928921568627451,0.113043478260869,-0.106169775755079
"20319692CL","White",16,4,3,17,1.75906017384508,1.16719846211926,0.894301470588235,-0.631067961165048,0.0878914791791634
"20325078EM","White",19,1,14,6,0.968033222003968,0.386798717965991,0.774122807017544,1,-0.981217181683538
"cooforah0923","Black",19,1,0,20,3.4459861893328,2.43083542556838,0.9875,0.244444444444444,0.257759301980878
"M20026000_JH","White",14,6,3,17,1.46462213678326,1.41106965808458,0.858193277310924,1,0.235110497710074
"M20251217_DWR","White",14,6,0,20,2.47795296732883,6.28449711092918,0.925,-1.5419764230905e-16,0.741775912982862
"m20265671NC","White",18,2,2,18,2.35952223522372,1,0.944444444444444,0.4,0
"M20288667","White",14,6,2,18,1.67696168829341,1.77236345921028,0.880952380952381,1,0.341280273465153
"M20296621_sf","White",19,1,0,20,3.4459861893328,2.43083542556838,0.9875,-1,0.257759301980878
"M20299351DV","White",20,0,6,14,2.47795296732883,0.159121721650716,0.925,-0.0566037735849056,-0.741775912982862
"M20299691_mmc","White",5,15,6,14,-0.140283590280823,0.923495987721598,0.441666666666667,-0.28,0.567342365821965
"M20300205_la","White",16,4,2,18,1.97139972535523,1.46605087286386,0.913194444444444,0.0666666666666667,0.194061254934243
"M20301216TG","White",12,8,6,14,0.738240964567581,1.09916848145767,0.732142857142857,1,0.128080088397764
"M20302173_aoh","Black",17,3,0,20,2.94817396274898,4.45371146273524,0.9625,0.457142857142857,0.506665415272789
"M20303470_do","White",17,3,1,19,2.43265535878722,1.83217317630373,0.945820433436533,0.0791366906474819,0.24890611329191
"M20306887_CDD","White",15,5,4,16,1.42912276870575,1.11644866741064,0.855208333333333,-0.137931034482759,0.0770772233904988
"m20307848","Black",15,5,9,11,0.757132274002219,0.821983306717316,0.736363636363636,-0.32,-0.258918023961268
"M20315356JN","Black",17,3,9,11,1.08706967914154,0.630782347997138,0.799465240641711,-0.0963855421686747,-0.42388672653093
"M20316040","White",15,5,7,13,1.00359051776295,0.872688942366581,0.787179487179487,-0.0791366906474821,-0.135688902080904
"M20316582!_NDP","Black",16,4,5,15,1.42912276870575,0.895697248955729,0.855208333333333,0,-0.0770772233904988
"M20316895KC","White",13,7,7,13,0.732212713601139,1,0.730769230769231,1,0
"M20317658AD","White",19,1,0,20,3.4459861893328,2.43083542556838,0.9875,0.0963855421686747,0.257759301980878
"M20317660_HDM","White",13,7,5,15,1.00359051776295,1.14588366077857,0.787179487179487,-0.142857142857143,0.135688902080904
"M20317671ajb","Black",15,5,10,10,0.637484160962377,0.816120692288477,0.708333333333333,0.324503311258278,-0.318742080481189
"M20317864_jrm","White",10,10,3,17,0.967421566101701,1.59672114670042,0.777941176470588,-1.73472347597681e-16,0.483710783050851
"M20317867AKS","White",16,4,4,16,1.58327721548675,1,0.875,0.654545454545455,0
"M20317869_CDT","White",13,7,1,19,1.83134014948609,2.73583885874667,0.888663967611336,0.0791366906474819,0.549563717942476
"M20317880SNH","Black",15,5,4,16,1.42912276870575,1.11644866741064,0.855208333333333,-0.595744680851064,0.0770772233904988
"M20318781AW","Black",19,1,5,15,2.1027179536479,0.418841795859104,0.917543859649123,-0.654545454545454,-0.413874815861573
"M20319488_IDH","White",19,1,7,13,1.83134014948609,0.365518603847201,0.888663967611336,-0.324503311258278,-0.549563717942476
"M20319728_JLH","White",17,3,10,10,0.967421566101701,0.626283432186312,0.777941176470588,-0.0869565217391304,-0.483710783050851
"M20319817_rcn","White",14,6,10,10,0.497200570681554,0.883729548519175,0.671428571428571,0.32,-0.248600285340777
"M20320659R.W.","White",11,9,3,17,1.08706967914154,1.58533288570171,0.799465240641711,-0.11304347826087,0.42388672653093
"M20320723_BB","Black",17,3,4,16,1.75906017384508,0.856752328292415,0.894301470588235,0.595744680851064,-0.0878914791791634
"M20320861","Black",15,5,1,19,2.1027179536479,2.38753632012502,0.917543859649123,1,0.413874815861573
"M20321455HG","White",17,3,0,20,2.94817396274898,4.45371146273524,0.9625,0.631067961165049,0.506665415272789
"M20321883KO","White",14,6,1,19,1.96243436336708,2.58532397743863,0.903195488721805,0.433070866141732,0.484016611001984
"M20322261_NL","White",7,13,2,18,0.813654760811291,1.87554862208569,0.748015873015873,-0.0153846153846155,0.772933737206215
"M20322318","White",12,8,9,11,0.360688506925869,0.978345499103998,0.630681818181818,0.0791366906474819,-0.0606961404230924
"M20323006_SPS","Black",15,5,4,16,1.42912276870575,1.11644866741064,0.855208333333333,-0.28,0.0770772233904988
"M20324713SMB","White",18,2,4,16,1.97139972535523,0.68210456984112,0.913194444444444,-1,-0.194061254934243
"M20324737PH","White",20,0,2,18,3.16051351425914,0.282021525020357,0.975,0.214723926380368,-0.400495639517709
"M20325706DM","Black",9,11,4,16,0.671990494703533,1.35823764094347,0.717013888888889,1,0.455643360391608
"M20326449_JGJ","Black",15,5,0,20,2.61823655760966,5.80370786679107,0.9375,0.214723926380368,0.671634117842451
"M20327105KS","White",9,11,4,16,0.671990494703533,1.35823764094347,0.717013888888889,0.32,0.455643360391608
"M20327179","White",11,9,3,17,1.08706967914154,1.58533288570171,0.799465240641711,-1.5419764230905e-16,0.42388672653093
"M20327215_JAW","Black",18,2,2,18,2.35952223522372,1,0.944444444444444,1,0
"M20327840_bkc","Black",17,3,0,20,2.94817396274898,4.45371146273524,0.9625,0.0869565217391305,0.506665415272789
"M20332064_sb","White",10,10,6,14,0.497200570681554,1.1315679120107,0.671428571428571,-0.135135135135135,0.248600285340777
"M20332352SE","Black",16,4,6,14,1.28883917842493,0.827172815623888,0.834821428571429,0.4,-0.14721901853091
"M20333447_MHT","Black",14,6,2,18,1.67696168829341,1.77236345921028,0.880952380952381,-0.351351351351351,0.341280273465153
"M20333934_IEA","White",18,2,5,15,1.81724527857424,0.610959186706822,0.897222222222222,-0.0566037735849056,-0.271138478324742
"M20335163AB","Black",15,5,6,14,1.13468473164393,0.923495987721597,0.810714285714286,0.4,-0.0701417951404115
"M20335233_KDS","Black",14,6,2,18,1.67696168829341,1.77236345921028,0.880952380952381,0,0.341280273465153
"M20335355MK","White",17,3,3,17,1.9348431322034,1,0.911764705882353,0.654545454545455,0
"M20336507_mmh","Black",13,7,1,19,1.83134014948609,2.73583885874667,0.888663967611336,-0.309090909090909,0.549563717942476
"M20336685_amn","Black",19,1,2,18,2.64499491029738,0.685547913792303,0.959795321637427,-1,-0.142736337536831
"M20337415AM","Black",20,0,4,16,2.77239100439065,0.192368171009947,0.95,1,-0.594556894451952
"M20340225_NS","White",12,8,0,20,2.22179279053331,6.90772114614514,0.9,-0.28,0.869856001380626
"M20340226_GG","White",20,0,0,20,3.96150479329456,1,1,0.309090909090909,1.11022302462516e-16
"M20344049!","White",18,2,4,16,1.97139972535523,0.68210456984112,0.913194444444444,-0.351351351351351,-0.194061254934243
"M20344836","White",18,2,1,19,2.64499491029738,1.45868724837658,0.959795321637427,NA,0.142736337536831
"M2O314646KFD","White",18,2,15,5,0.542276956649483,0.610959186706822,0.691666666666667,NA,-0.908622639287119
